job_name,num,mean_time,median_time,mean_size,median_size,mean_time_per_operation,median_time_per_operation
Run Gel,1,17.95,17.95,1.0,1.0,17.95,17.95
Extract Gel Slice,3,11.68888888888889,11.633333333333333,1.6666666666666667,2.0,7.5055555555555555,6.733333333333333
Pour Gel,1,9.966666666666667,9.966666666666667,1.0,1.0,9.966666666666667,9.966666666666667
Purify Gel Slice,2,65.90833333333333,65.90833333333333,1.5,1.5,44.15,44.15
Check Plate,2,3.75,3.75,1.0,1.0,3.75,3.75
Make Overnight Suspension,1,6.95,6.95,1.0,1.0,6.95,6.95
Make Miniprep,2,63.34166666666667,63.34166666666667,1.5,1.5,43.925,43.925
Receive Addgene Plasmid,1,0.6333333333333333,0.6333333333333333,1.0,1.0,0.6333333333333333,0.6333333333333333
Plate Agar Stab,1,15.816666666666666,15.816666666666666,1.0,1.0,15.816666666666666,15.816666666666666
Send to Sequencing,1,48.0,48.0,2.0,2.0,24.0,24.0
Make Glycerol Stock,1,5.383333333333334,5.383333333333334,2.0,2.0,2.691666666666667,2.691666666666667
Upload Sequencing Results,1,3.85,3.85,2.0,2.0,1.925,1.925
Yeast Overnight Suspension,2,16.675,16.675,1.5,1.5,14.0875,14.0875
Make Yeast Comp Cells,1,35.65,35.65,2.0,2.0,17.825,17.825
Inoculate Yeast Comp Cells,1,18.35,18.35,2.0,2.0,9.175,9.175
Yeast Glycerol Stock,2,7.541666666666666,7.541666666666666,1.5,1.5,5.7875,5.7875
Fragment Analyzing,1,20.3,20.3,3.0,3.0,6.766666666666667,6.766666666666667
Purify Gel Slice (NGS),1,93.3,93.3,2.0,2.0,46.65,46.65
Extract Gel Slice (NGS),1,29.916666666666668,29.916666666666668,2.0,2.0,14.958333333333334,14.958333333333334
Qubit concentration,1,79.75,79.75,15.0,15.0,5.316666666666666,5.316666666666666
Dilute to 4nM,1,26.566666666666666,26.566666666666666,14.0,14.0,1.8976190476190475,1.8976190476190475
Run Pre-poured Gel,1,12.533333333333333,12.533333333333333,2.0,2.0,6.266666666666667,6.266666666666667
Library qPCR,1,52.38333333333333,52.38333333333333,2.0,2.0,26.191666666666666,26.191666666666666
Make PCR Fragment,1,16.566666666666666,16.566666666666666,1.0,1.0,16.566666666666666,16.566666666666666
Thin seedlings,1,10.316666666666666,10.316666666666666,2.0,2.0,5.158333333333333,5.158333333333333
